T1,T1_date,T2,T2_date,frequency,frequency_date,readout_error,readout_error_date,prob_meas0_prep1,prob_meas0_prep1_date,prob_meas1_prep0,prob_meas1_prep0_date,readout_length,readout_length_date
51337.721469686985,2023-12-24T13:57+08:00,919.5782120405673,2023-12-24T13:57+08:00,1.0437314610390835,2023-12-24T13:57+08:00,0.00388985812184991,2023-12-24T13:57+08:00,0.000517628195331491,2023-12-24T13:57+08:00,5.2148563528042924e-05,2023-12-24T13:57+08:00,0.11079598166557364,2023-12-24T13:57+08:00
48984.200573729046,2023-12-24T13:57+08:00,973.6883179754359,2023-12-24T13:57+08:00,1.1294202077159508,2023-12-24T13:57+08:00,0.0022300991360506357,2023-12-24T13:57+08:00,0.0007028173714662822,2023-12-24T13:57+08:00,0.0001771697361408481,2023-12-24T13:57+08:00,0.0967846806700122,2023-12-24T13:57+08:00
51095.33155283421,2023-12-24T13:57+08:00,1049.5688464469229,2023-12-24T13:57+08:00,1.0393947421550631,2023-12-24T13:57+08:00,0.0008537015316965599,2023-12-24T13:57+08:00,0.0017232354897547908,2023-12-24T13:57+08:00,0.0014345891542043745,2023-12-24T13:57+08:00,0.1071422602300947,2023-12-24T13:57+08:00
50716.07256368862,2023-12-24T13:57+08:00,952.152529982264,2023-12-24T13:57+08:00,0.9420149212235485,2023-12-24T13:57+08:00,0.0014019216412527037,2023-12-24T13:57+08:00,0.0011952907723957404,2023-12-24T13:57+08:00,0.002069894111486838,2023-12-24T13:57+08:00,0.0913114397061149,2023-12-24T13:57+08:00
48946.3022607618,2023-12-24T13:57+08:00,1002.1762739039141,2023-12-24T13:57+08:00,0.9350920584013496,2023-12-24T13:57+08:00,0.0025814243670146445,2023-12-24T13:57+08:00,0.0003875683118788955,2023-12-24T13:57+08:00,0.0018407768560997446,2023-12-24T13:57+08:00,0.07960689255019916,2023-12-24T13:57+08:00
51670.20343833317,2023-12-24T13:57+08:00,1011.8266630577077,2023-12-24T13:57+08:00,0.9599446274109401,2023-12-24T13:57+08:00,0.0026401620287536875,2023-12-24T13:57+08:00,0.00021532562136564122,2023-12-24T13:57+08:00,8.487129785389508e-05,2023-12-24T13:57+08:00,0.09723899373789052,2023-12-24T13:57+08:00
49566.2332418073,2023-12-24T13:57+08:00,1023.2050744740056,2023-12-24T13:57+08:00,1.0415269745841111,2023-12-24T13:57+08:00,0.001742200187227155,2023-12-24T13:57+08:00,0.00021080238803284664,2023-12-24T13:57+08:00,0.001323587229463071,2023-12-24T13:57+08:00,0.10266287126799979,2023-12-24T13:57+08:00
49853.99693836589,2023-12-24T13:57+08:00,1012.7476956553761,2023-12-24T13:57+08:00,0.9809034565990573,2023-12-24T13:57+08:00,0.0032638696486848922,2023-12-24T13:57+08:00,0.0019096988943994285,2023-12-24T13:57+08:00,0.0004383382556248852,2023-12-24T13:57+08:00,0.11353350571247117,2023-12-24T13:57+08:00
50183.857713109064,2023-12-24T13:57+08:00,1007.1573779152443,2023-12-24T13:57+08:00,1.022920127343735,2023-12-24T13:57+08:00,0.0022000128907938873,2023-12-24T13:57+08:00,0.0006110641181503567,2023-12-24T13:57+08:00,3.254819520197097e-05,2023-12-24T13:57+08:00,0.1023058599391556,2023-12-24T13:57+08:00
50477.823699437235,2023-12-24T13:57+08:00,1052.8980873812993,2023-12-24T13:57+08:00,0.9530322631368056,2023-12-24T13:57+08:00,0.003402906820154956,2023-12-24T13:57+08:00,0.0010301545171650204,2023-12-24T13:57+08:00,0.0005393771152210673,2023-12-24T13:57+08:00,0.10032791664130135,2023-12-24T13:57+08:00
49220.66743954341,2023-12-24T13:57+08:00,963.092142740924,2023-12-24T13:57+08:00,1.1445188557777537,2023-12-24T13:57+08:00,0.002696789158628216,2023-12-24T13:57+08:00,0.0011018248517690211,2023-12-24T13:57+08:00,0.00025062174940964656,2023-12-24T13:57+08:00,0.09597582475433142,2023-12-24T13:57+08:00
51247.030731257844,2023-12-24T13:57+08:00,1081.477055783495,2023-12-24T13:57+08:00,0.9979721888331353,2023-12-24T13:57+08:00,0.0022037728779241523,2023-12-24T13:57+08:00,0.000909468813597493,2023-12-24T13:57+08:00,0.00047494387158147217,2023-12-24T13:57+08:00,0.10606689473550447,2023-12-24T13:57+08:00
